place_id,aspect_name,mention_count,avg_aspect_sentiment_score,positive_mentions,neutral_mentions,negative_mentions,positive_ratio,neutral_ratio,negative_ratio
rebirth,價格,34,0.3161764705882353,11,17,6,0.3235294117647059,0.5,0.17647058823529413
rebirth,出餐速度,76,0.3333333333333333,26,42,8,0.34210526315789475,0.5526315789473685,0.10526315789473684
rebirth,功能用途,70,0.4607142857142857,24,38,8,0.34285714285714286,0.5428571428571428,0.11428571428571428
rebirth,店員/服務,234,0.6608262108262108,104,119,11,0.4444444444444444,0.5085470085470085,0.04700854700854701
rebirth,正餐,241,0.6719301445442525,107,121,13,0.44398340248962653,0.5020746887966805,0.05394190871369295
rebirth,氛圍/風格,61,0.7909836065573771,32,21,8,0.5245901639344263,0.3442622950819672,0.13114754098360656
rebirth,甜點,30,0.9666666666666667,16,13,1,0.5333333333333333,0.43333333333333335,0.03333333333333333
rebirth,衛生/整潔,78,-0.31196581196581197,13,31,34,0.16666666666666666,0.3974358974358974,0.4358974358974359
rebirth,飲品,113,0.5936578171091444,49,53,11,0.4336283185840708,0.4690265486725664,0.09734513274336283
