place_id,year_month,review_count,avg_star_rating,avg_sentiment_score,avg_spend_amount,spend_sample_count,positive_ratio,neutral_ratio,negative_ratio
rebirth,2016-03,2,3.0,2.25,,0,0.5,0.5,0.0
rebirth,2017-03,17,4.235294117647059,0.9411764705882353,,0,0.5882352941176471,0.35294117647058826,0.058823529411764705
rebirth,2018-03,23,4.260869565217392,1.3043478260869565,,0,0.7391304347826086,0.21739130434782608,0.043478260869565216
rebirth,2019-03,39,4.128205128205129,1.4230769230769231,,0,0.717948717948718,0.1794871794871795,0.10256410256410256
rebirth,2020-03,33,4.0606060606060606,0.9696969696969697,,0,0.5757575757575758,0.36363636363636365,0.06060606060606061
rebirth,2021-03,41,4.341463414634147,0.9634146341463414,,0,0.6097560975609756,0.2682926829268293,0.12195121951219512
rebirth,2022-03,31,4.0,1.1774193548387097,,0,0.7419354838709677,0.12903225806451613,0.12903225806451613
rebirth,2023-03,53,4.245283018867925,1.4245283018867925,338.1190476190476,21,0.6037735849056604,0.2830188679245283,0.11320754716981132
rebirth,2024-03,51,4.137254901960785,1.0980392156862746,324.0,25,0.5686274509803921,0.35294117647058826,0.0784313725490196
rebirth,2025-03,45,3.7333333333333334,1.0,333.4166666666667,30,0.5111111111111111,0.37777777777777777,0.1111111111111111
rebirth,2025-04,6,2.0,-0.25,366.8333333333333,3,0.16666666666666666,0.5,0.3333333333333333
rebirth,2025-06,1,2.0,0.0,100.5,1,0.0,1.0,0.0
rebirth,2025-07,1,5.0,4.0,300.0,1,1.0,0.0,0.0
rebirth,2025-08,1,1.0,1.0,,0,1.0,0.0,0.0
rebirth,2025-09,3,2.3333333333333335,0.5,,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
rebirth,2025-10,4,2.75,0.0,500.0,1,0.25,0.5,0.25
rebirth,2025-11,2,3.0,2.0,300.0,1,1.0,0.0,0.0
rebirth,2025-12,5,2.8,0.7,167.0,3,0.4,0.2,0.4
rebirth,2026-02,1,5.0,1.0,,0,1.0,0.0,0.0
rebirth,2026-03,1,5.0,0.0,,0,0.0,1.0,0.0
