place_id,place_name,review_unique_key,star_rating,sentiment_score,review_text,likes_count,review_date_text,review_date_estimated,價格,出餐速度,功能用途,店員/服務,正餐,氛圍/風格,甜點,衛生/整潔,飲品
rebirth,Rebirth,4a8e610ff6dd2913464951166ce0a265e05d8bc286354e90b0a38b6f1f884e50,4.0,-1.0,"氣氛還不錯,但晚餐之前都沒有任何餐點有點可惜",0,6 年前,2020-03-26,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
rebirth,Rebirth,9a31a86d6feadc7c97fbc7cadd64edca0bbefee636d7776167acd611078bb19d,5.0,1.5,"每次去都有新菜色,而且味道很好,花釀超級好喝~~~",0,7 年前,2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rebirth,Rebirth,8155fc9b79621c5142814ec904a5f60e413fd56ca0086a10bf47ef9e841555d0,5.0,2.5,"武士風鰹魚料理得非常入味,很下飯🤤 店員服務態度很好、很親切,等待是值得的😍服務內用餐點類型晚餐平均每人消費金額$200-400",0,3 年前,2023-03-26,0.0,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0
rebirth,Rebirth,0a7cf302c51bbc16c84f5c26ca5a2f95d81bc57d2e7d1328d5fe414ad52648ca,4.0,2.0,"沒有限時很適合聊天的咖啡廳,餐點好吃值得慢慢等待(很久XD)",0,6 年前,2020-03-26,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
rebirth,Rebirth,4aa3f114a0d9809e617dd9f0a2001ba6256951f1778fc202681f421f6d1f1857,5.0,1.0,"好吃到很扯,一上來聞到香味就棟未條開吃,忘了拍照😅服務內用餐點類型晚餐平均每人消費金額$200-400",0,上次編輯：3 年前,2023-03-26,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rebirth,Rebirth,f76a93f4803d00f9e1651f15bba3e98a057dc581192364fb32f54cc5735d24b5,5.0,1.5,炸雞皮餃子超級好吃欸 飯還可以免費續 醬油香油拌半熟蛋拌飯真的融化 大推,0,7 年前,2019-03-26,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
rebirth,Rebirth,54fc96a65edc86f722ff980c0531af97cc7382d753300cdcdbc89f81d757ba73,2.0,0.0,我幾乎每天喝咖啡 但喝完這家的卡布奇諾口非常乾渴 咖啡涼掉之後整杯都鹹的 下次不會再來了,0,9 年前,2017-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rebirth,Rebirth,c64c1d372aab7c61fd95bffb3ada9e7c785369320875f8fbd3b7567e834b4ef7,5.0,1.5,"食物真的很好吃,但餓肚子的時候不要輕易嘗試啊,等到快暈倒啦😆 ...",0,7 年前,2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rebirth,Rebirth,61b202d1e6126c7e67892b6f5e3a9e5043b2a10976e3d096895c1f712be74a37,5.0,1.0,"來公館值得一來的特色咖啡店! 有很多老闆自己的特色料理,就像深夜食堂一樣",0,8 年前,2018-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rebirth,Rebirth,f988bfc9dc4efc3b1a0264181899c4a18cbfd28b806a7f73545c31618c966ad4,5.0,-1.0,"唯一的缺點大概就是出餐慢,不過相應的是個非常適合久坐聊天或輕鬆工作的地方",0,5 年前,2021-03-26,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
