place_id,place_name,review_count,avg_sentiment_score,avg_star_rating,avg_spend_amount,spend_sample_count,avg_google_food_rating,google_food_rating_count,avg_google_service_rating,google_service_rating_count,avg_google_atmosphere_rating,google_atmosphere_rating_count,negative,neutral,positive,positive_ratio,neutral_ratio,negative_ratio
rebirth,Rebirth,360,1.1222222222222222,4.013888888888889,325.63953488372096,86,4.020618556701031,97,4.25,96,3.9896907216494846,97,38,105,217,0.6027777777777777,0.2916666666666667,0.10555555555555556
xuekewu,雪可屋,352,0.8465909090909091,4.247159090909091,264.81617647058823,68,4.25,76,4.2,75,4.428571428571429,77,21,147,184,0.5227272727272727,0.41761363636363635,0.05965909090909091
yangtiaozao,羊跳蚤,156,0.7339743589743589,4.243589743589744,206.93333333333334,45,4.263888888888889,72,4.232876712328767,73,4.493333333333333,75,9,78,69,0.4423076923076923,0.5,0.057692307692307696
