place_id,aspect_name,mention_count,avg_aspect_sentiment_score,positive_mentions,neutral_mentions,negative_mentions,positive_ratio,neutral_ratio,negative_ratio
xuekewu,價格,31,0.6048387096774194,13,12,6,0.41935483870967744,0.3870967741935484,0.1935483870967742
xuekewu,出餐速度,16,0.875,8,7,1,0.5,0.4375,0.0625
xuekewu,功能用途,74,0.6505255255255254,29,41,4,0.3918918918918919,0.5540540540540541,0.05405405405405406
xuekewu,店員/服務,130,0.40705128205128205,36,87,7,0.27692307692307694,0.6692307692307692,0.05384615384615385
xuekewu,正餐,149,0.6717002237136465,61,80,8,0.40939597315436244,0.5369127516778524,0.053691275167785234
xuekewu,氛圍/風格,110,0.8416666666666667,60,46,4,0.5454545454545454,0.41818181818181815,0.03636363636363636
xuekewu,甜點,23,1.1231884057971013,15,7,1,0.6521739130434783,0.30434782608695654,0.043478260869565216
xuekewu,衛生/整潔,18,0.1111111111111111,6,8,4,0.3333333333333333,0.4444444444444444,0.2222222222222222
xuekewu,飲品,220,0.7239772727272727,102,112,6,0.4636363636363636,0.509090909090909,0.02727272727272727
