place_id,term,term_count,rank
xuekewu,餐點,218,1
xuekewu,咖啡,178,2
xuekewu,服務,157,3
xuekewu,氣氛,128,4
xuekewu,內用,70,5
xuekewu,飲料,63,6
xuekewu,適合,47,7
xuekewu,好喝,46,8
xuekewu,喜歡,45,9
xuekewu,爵士,44,10
xuekewu,不錯,43,11
xuekewu,氛圍,38,12
xuekewu,地方,37,13
xuekewu,朋友,37,14
xuekewu,店內,37,15
xuekewu,音樂,34,16
xuekewu,環境,32,17
xuekewu,好吃,32,18
xuekewu,時間,29,19
xuekewu,這裡,29,20
xuekewu,味道,29,21
xuekewu,插座,28,22
xuekewu,裝潢,27,23
xuekewu,沒有,25,24
xuekewu,安靜,24,25
